Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Арсенич;Кирило;Вадимович;Чоловік;1984-05-31;Епідеміолог;селище Вовчанськ;парк Чорноморський 2-й, буд. 928, Шахтарськ, 08769;+380 (99) 880-36-68;onysym03@example.com
Рубан;Олександр;Варфоломійович;Чоловік;1972-12-15;Юрист;село Зміїв;провулок Василя Кандинського 4-й, буд. 422, Борщів, 86337;+380 42 213-17-69;devdiuknadiia@example.org
Швачка;Андрій;Іванович;Чоловік;1980-10-28;Флорист;місто Волноваха;вулиця Щоглова, буд. 9, Деражня, 01327;019 674 97 60;orysiaopanasenko@example.com
Нестайко;Костянтин;Мартинович;Чоловік;1942-02-27;Філолог;хутір Острог;вулиця Дворянська, буд. 49, Борислав, 34886;+380 23 222-36-99;bohuslava25@example.org
Удовиченко;Валерій;Іванович;Чоловік;1989-01-22;Науковець;місто Обухів;проспект Преображенська, буд. 6, Тульчин, 21955;+380 48 856 39 28;makarbezditko@example.org
Чумак;Панас;Вікторович;Чоловік;1973-01-12;Лікар;місто Сновськ;вулиця Тінистий, буд. 35, Алчевськ, 53549;+380 93 459 35 32;ruslan90@example.net
Сич;Мартин;Демʼянович;Чоловік;1971-02-04;Ветеринар;хутір Українськ;парк Гранатний, буд. 197, Бердянськ, 01815;069 561 59 49;nosenkoroman@example.net
Шухевич;Гордій;Микитович;Чоловік;1941-11-11;Хімік;село Южне;набережна Єліна, буд. 96 кв. 44, Білгород-Дністровський, 32875;672-77-24;petro87@example.net
Засенко;Андрій;Михайлович;Чоловік;1947-01-11;Намотувальник;селище Переяслав;набережна Ромашкова, буд. 843, Трускавець, 05139;+380 87 675 87 98;arkadii44@example.org
Уманець;Трохим;Павлович;Чоловік;1958-11-15;Бібліотекар;селище Слов'янськ;набережна Яші Гордієнка, буд. 585 кв. 54, Деражня, 19702;+380 27 566-17-32;vysochanrostyslav@example.org
Тягнибок;Павло;Несторович;Чоловік;1980-06-04;Ґрунтознавець;село Дунаївці;шосе Кибальчича, буд. 198, Миронівка, 52811;041 008-16-52;nehodafeofan@example.org
Авраменко;Юстим;Болеславович;Чоловік;1955-01-22;Кухар;місто Хрестівка;проспект Клинова, буд. 25 кв. 18, Вугледар, 04501;+380 16 151 99 07;criabchenko@example.org
Шахрай;Костянтин;Августинович;Чоловік;1944-07-11;Ґрунтознавець;село Нікополь;узвіз Лодочний, буд. 929, Борислав, 44627;+380 (32) 768-20-58;evdovenko@example.com
Стус;Данило;Ааронович;Чоловік;1995-01-19;Петрограф;село Перевальськ;набережна 19-та Лінія, буд. 8 кв. 5, Новий Калинів, 55607;+380 20 426-45-05;mariana40@example.net
Алексеєнко;Климент;Давидович;Чоловік;1958-12-27;Режисер;хутір Алчевськ;шосе Гетьманський, буд. 2, Снятин, 50613;958-09-14;jtychyna@example.org
Бебешко;Давид;Веніяминович;Чоловік;1996-05-19;Електротехнік;селище Вугледар;вулиця Космонавта Комарова, буд. 3 кв. 995, Красноград, 60544;+380 (88) 010-85-48;pshapoval@example.org
Притула;Григорій;Омелянович;Чоловік;1971-11-07;М'ясник;місто Ківерці;провулок Восьмого березня 6-й, буд. 02, Горішні Плавні, 57535;020 26 45;solomiia44@example.com
Туркало;Богуслав;Ярославович;Чоловік;1950-06-29;Пекар;село Красноград;шосе Гена Іоганна, буд. 73 кв. 5, Тернопіль, 56906;002 376 39 10;emiliia85@example.com
Абрагамовський;Гліб;Бориславович;Чоловік;1949-12-14;Ботанік;хутір Канів;шосе Клинова, буд. 54, Алушта, 48535;785-74-05;ekorpaniuk@example.org
Даценко;Ростислав;Степанович;Чоловік;1996-06-22;Нотаріус;місто Добромиль;проспект Архітекторська, буд. 5 кв. 03, Золоте, 44803;096 961-71-80;yatroshchenko@example.net
Артимович;Пилип;Вʼячеславович;Чоловік;1999-06-30;Педагог;село Зугрес;проспект Восьмого березня 9-й, буд. 163 кв. 57, Керч, 21662;+380 21 077 15 66;sneporozhnii@example.org
Непорожній;Болеслав;Назарович;Чоловік;1954-07-25;Візажист;місто Молочанськ;вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 40, Городок, 01597;+380 98 322 64 91;zakhar16@example.org
Теличенко;Святослав;Бориславович;Чоловік;1951-06-18;Слідчий;місто Бровари;площа Градоначальницька, буд. 16 кв. 57, Вуглегірськ, 18034;038 277-33-10;oksanadankiv@example.net
Василашко;Богодар;Ігнатович;Чоловік;1949-02-10;Петрограф;селище Глобине;шосе Орловський, буд. 711, Таврійськ, 96064;+380 (18) 362-75-60;amatiash@example.org
Зарудний;Онисим;Адамович;Чоловік;1941-05-03;Електрик;селище Валки ;провулок Радіо, буд. 4 кв. 219, Очаків, 62992;+380 85 861 67 73;mykyta85@example.org
Акименко;Володимир;Альбертович;Чоловік;1959-06-23;Електромонтажник;село Новоукраїнка;проспект Краснова, буд. 51, Калуш, 93325;054 838 59 35;nkorsun@example.net
Бабич;Богдан;Устимович;Чоловік;1960-07-29;Археолог;селище Ірпінь;парк Деревообробний 4-й, буд. 5, Луганськ, 66385;018 86 97;wzabila@example.org
Шиян;Климент;Гордійович;Чоловік;1950-01-10;Візажист;селище Ясинувата;парк Березовий, буд. 3, Бучач, 13905;483 47 60;isatsiuk@example.com
Гузь;Веніямин;Арсенович;Чоловік;1962-10-12;Електромонтер;місто Узин;провулок Старосінна, буд. 570 кв. 984, Новий Розділ, 50800;+380 04 222-66-36;myroslav28@example.net
Михайличенко;Максим;Юстимович;Чоловік;1957-07-25;Медик;місто Пологи ;вулиця Амбулаторний 2-й, буд. 10 кв. 22, Охтирка, 32303;+380 (30) 858-13-98;tsarenkoteodor@example.net
Тимченко;Захар;Євгенійович;Чоловік;2008-07-05;Адвокат;хутір Хмельницький;проспект Монастирський, буд. 50 кв. 114, Буськ, 82636;+380 94 628-00-69;maksym19@example.com
Василенко;Григорій;Хомович;Чоловік;1944-12-15;Астрофізик;село Гайсин;узвіз Локомотивний 2-й, буд. 613, Сновськ, 06299;119 00 35;demyd79@example.net
Ковалюк;Степан;Тарасович;Чоловік;1993-04-24;Ветеринар;селище Рені;шосе Бузковий, буд. 839, Полонне, 81484;044 008 86 38;umazur@example.com
Ющенко;Левко;Венедиктович;Чоловік;1960-07-09;Історик;село Заставна;вулиця Селекційна, буд. 360 кв. 91, Южне, 83730;133 70 54;solomon86@example.net
Данилюк;Яків;Зорянович;Чоловік;1966-07-30;Гірник;хутір Молочанськ;набережна Катаєва, буд. 10 кв. 65, Жмеринка, 26767;+380 53 240-77-47;iaroslava17@example.com
Шморгун;Борислав;Костянтинович;Чоловік;1990-06-15;Музичний редактор;хутір Красилів;набережна Радіальна, буд. 127 кв. 193, Харцизьк, 03409;007 293 73 91;pavlenkooryna@example.net
Ґоляш;Андрій;Венедиктович;Чоловік;1973-06-18;Прокурор;хутір Стебник;шосе Віцеадмірала Жукова, буд. 4 кв. 6, Остер , 59254;+380 74 234-54-58;pylyp76@example.net
Швайка;Мирон;Болеславович;Чоловік;1985-05-23;Лікар;село Хмельницький;площа Мелітопольська, буд. 2, Дніпро , 38646;331 90 52;iryna08@example.org
Макогон;Орхип;Богодарович;Чоловік;1998-03-30;Астроном;місто Ялта;провулок Леваневського, буд. 283, Кодима, 27403;+380 (97) 851-56-20;stereshchuk@example.org
Слюсар;Лесь;Аркадійович;Чоловік;2005-04-28;Гірник;селище Іловайськ;узвіз 7-ма Лінія Дачі Ковалевського, буд. 09, Волноваха, 93748;022 358 47 22;milenababiuk@example.com
Бараник;Андрій;Яремович;Чоловік;1998-12-01;Реабілітолог;місто Ялта;набережна 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 455, Бережани, 94526;820-63-63;heorhii34@example.net
Ярош;Арсен;Яковович;Чоловік;1987-12-23;Фармацевт;село Бориспіль;парк Магнітогорський 2-й, буд. 20, Марганець , 51773;212-55-98;rostyslavhuzii@example.com
Чорновіл;Леон;Вʼячеславович;Чоловік;1970-07-11;Акушер;селище Берислав;узвіз Якутська, буд. 8, Кагарлик, 29560;299-25-54;xlytvyn@example.com
Твердохліб;Борислав;Микитович;Чоловік;1987-01-06;Професор;місто Самбір;площа Газовий, буд. 65, Дебальцеве, 09853;088 27 75;khrystyna66@example.org
Лесик;Данило;Федорович;Чоловік;1979-05-14;Вчитель;хутір Щастя ;сквер Магнітогорський 2-й, буд. 912 кв. 158, Балаклія, 67949;+380 01 147-94-70;iaryna19@example.org
Пушкар;Валерій;Теодорович;Чоловік;1989-09-12;Антрополог;місто Білозерське;парк Урожайна, буд. 64, Збараж, 04103;855-96-30;petliuraomelian@example.com
Даниленко;Охрім;Демидович;Чоловік;1969-08-26;Дерун;місто Чуднів;шосе Зоряна, буд. 0 кв. 68, Шумськ, 71458;+380 (50) 191-16-55;zakharderkach@example.org
Ярош;Орхип;Олександрович;Чоловік;2006-11-05;Диригент;село Перевальськ;вулиця Софії Перовської, буд. 6 кв. 1, Чугуїв, 86638;014 707-05-32;qdrobakha@example.com
Фесенко;Франц;Іванович;Чоловік;1990-09-11;Реставратор;селище Обухів;проспект Толбухіна, буд. 52, Тлумач, 12426;041 256 62 72;arsenpustovit@example.org
Оніщук;Остап;Богодарович;Чоловік;1964-06-30;Круп'є;село Кам'янка (Черкаська область);узвіз Красна, буд. 2 кв. 058, Вашківці, 72784;+380 91 914-77-89;tsushkodan@example.org
Мамчур;Вʼячеслав;Євгенійович;Чоловік;1979-04-01;Піаніст;селище Апостолове;площа Лузанівка, буд. 3, Верхньодніпровськ, 39097;128 71 93;ehaidamaka@example.com
Бандурка;Аарон;Опанасович;Чоловік;1975-12-08;Програміст;селище Борислав;сквер Мусіна, буд. 606, Каховка, 43189;+380 15 357-97-51;ielysei64@example.com
Їжак;Пармен;Павлович;Чоловік;1956-06-22;Льотчик;місто Глобине;площа Василя Кандинського 1-й, буд. 113 кв. 294, Звенигородка, 30124;+380 33 629-64-08;hupalonestor@example.org
Кальченко;Костянтин;Аркадійович;Чоловік;1980-11-25;Живописець;село Славутич;провулок Альпіністів, буд. 331 кв. 203, Золочів, 67708;+380 40 911-04-98;avhustynhodunok@example.com
Андрієнко;Назар;Максимович;Чоловік;1952-10-09;Етнограф;селище Буськ;провулок Херсонський сквер, буд. 599, Тернопіль, 71511;145 42 96;anton04@example.org
Джус;Дмитро;Давидович;Чоловік;1948-08-11;Піаніст;село Верхньодніпровськ;сквер Привозна, буд. 594 кв. 073, Гуляйполе, 25576;074 927 06 94;mzhuravel@example.org
Онуфрієнко;Ілля;Едуардович;Чоловік;1993-05-12;Архітектор;хутір Луцьк;набережна Стороженка Олега, буд. 019, Лисичанськ, 16041;+380 96 753 93 58;venedykt85@example.net
Чуприна;Дан;Лукʼянович;Чоловік;1970-02-23;Лікар;село Хмільник;вулиця Йосипа Тимченка, буд. 20, Дружківка, 36688;+380 (27) 334-74-36;nataliia46@example.org
Коваленко;Соломон;Микитович;Чоловік;1941-04-23;Фрілансер;хутір Джанкой;сквер Савранська, буд. 0 кв. 321, Могилів-Подільський, 50602;094 105-33-47;veniiamyntykhyi@example.org
Левченко;Григорій;Симонович;Чоловік;1987-08-21;Філолог;селище Городенка;провулок Отамана Чепіги, буд. 70 кв. 7, Дунаївці, 97287;112-09-17;ustymkhomenko@example.com
Артеменко;Руслан;Павлович;Чоловік;1998-07-08;Графік;місто Костопіль;шосе Шостої 1-й, буд. 8 кв. 0, Звенигородка, 30048;042 017 46 79;mkarpenko@example.net
Гриценко;Леон;Остапович;Чоловік;1997-12-08;Детектив;село Гірське;провулок Лесі Українки, буд. 58 кв. 74, Торецьк, 76293;038 481-38-82;yvernydub@example.net
Симоненко;Семен;Петрович;Чоловік;1957-08-29;Прокурор;місто Білозерське;вулиця Красний, буд. 37, Тлумач, 28818;395 54 82;iemelianenkoavhustyn@example.org
Затула;Едуард;Варфоломійович;Чоловік;1987-12-05;Доцент;місто Радехів;набережна Кільцева, буд. 421, Бунге , 56957;+380 (89) 331-58-42;olesrudko@example.org
Гриценко;Мартин;Геннадійович;Чоловік;1975-09-05;Ботанік;селище Сарни;вулиця ім. К.Г. Паустовського, буд. 0 кв. 16, Хуст, 49203;753 71 67;bebeshkoalbina@example.net
Шутько;Григорій;Адамович;Чоловік;1957-02-20;Біолог;селище Корюківка;сквер Трудова, буд. 907 кв. 69, Дрогобич, 75294;+380 98 752-65-40;shvachkanadiia@example.org
Заїка;Спас;Юстимович;Чоловік;1960-07-18;Гінеколог;село Бар;набережна Заводська 4-та, буд. 94 кв. 2, Дніпро , 30461;030 217-61-37;zakusyloles@example.net
Василенко;Данило;Олексович;Чоловік;1963-11-02;Гицель;хутір Радехів;провулок Семінарська, буд. 124 кв. 63, Бучач, 57759;+380 81 053-30-90;ishchakheorhii@example.com
Устенко;Дан;Опанасович;Чоловік;1978-12-01;Державний службовець;селище Володимир-Волинський;парк Академіка Богатського, буд. 099, Коломия, 68468;240 21 92;shtokaloustym@example.org
Бараник;Прохір;Аврелійович;Чоловік;1963-08-21;Ветеринар;село Хоростків;провулок Брестська, буд. 222, Тисмениця, 36516;835 02 76;rudkoklavdiia@example.net
Нестайко;Демид;Владиславович;Чоловік;1988-11-13;Публіцист;хутір Дрогобич;шосе Колонічна, буд. 028, Бережани, 70448;+380 90 630 22 71;xdziuba@example.org
Скопенко;Демид;Миколайович;Чоловік;1949-08-17;Графік;хутір Долинська;узвіз Проїзний 1-й, буд. 548 кв. 3, Івано-Франківськ, 41854;+380 99 778-89-59;priskaderiazhna@example.com
Засядько;Юстим;Венедиктович;Чоловік;1944-11-19;Будник;село Стебник;провулок Каманіна, буд. 6 кв. 5, Новоукраїнка, 67147;+380 97 512 59 46;kskorobohatko@example.org
Гресь;Микита;Миронович;Чоловік;1971-06-03;Будник;селище Миколаївка ;шосе Мічуріна, буд. 648 кв. 4, Миколаївка , 75798;+380 12 894-82-63;anzhelabakumenko@example.com
Таран;Ростислав;Устимович;Чоловік;1958-09-19;Пекар;місто Зеленодольськ;шосе Аеродромна, буд. 39, Кальміуське, 65335;+380 01 365-65-11;mykolaishcherbak@example.com
Зубко;Богуслав;Аврелійович;Чоловік;1979-06-07;Пілот;село Чернівці;шосе Теліги Олени, буд. 4 кв. 3, Ватутіне, 85809;698 12 13;erika12@example.net
Носаченко;Віктор;Русланович;Чоловік;1965-02-21;Інженер;хутір Путивль;набережна Ковалевського узвіз, буд. 8 кв. 3, Косів, 10347;191-66-30;hveres@example.com
Лемешко;Святослав;Ігорович;Чоловік;2001-10-20;Бібліотекар;місто Щолкіне;провулок В’ячеслава Чорновола, буд. 49 кв. 3, Міусинськ, 31620;+380 (33) 124-07-34;varfolomii15@example.org
Удовиченко;Прохір;Остапович;Чоловік;2006-06-23;Електромонтажник;селище Новоселиця;площа Буніна, буд. 2 кв. 714, Херсон, 51945;904 67 21;perepelytsiamykhailyna@example.com
Зінченко;Руслан;Леонідович;Чоловік;1999-05-08;Електротехнік;місто Пустомити;парк Дубовий гай, буд. 96, Волноваха, 55118;+380 99 538-52-72;rostyslav14@example.org
Деряжний;Руслан;Орхипович;Чоловік;1963-09-09;Промисловець;селище Полонне;проспект Садова 3-тя, буд. 617 кв. 604, Буча, 66351;044 708 51 94;darynavivcharenko@example.org
Саєнко;Венедикт;Микитович;Чоловік;1950-10-02;Каскадер;місто Ужгород;вулиця Неплія, буд. 246, Копичинці, 17248;+380 49 811-79-67;tokarada@example.org
Дерегус;Іван;Артемович;Чоловік;1989-01-03;Астронавт;хутір Білгород-Дністровський;проспект Строганова, буд. 8, Мар'їнка, 04534;+380 (59) 584-37-42;mykhailokabaliuk@example.net
Ванченко;Леонтій;Геннадійович;Чоловік;1987-06-14;Біолог;селище Тернівка ;сквер Морський 2-й, буд. 66, Білогірськ, 43575;+380 (36) 005-95-36;amaliiadashkevych@example.org
Вітрук;Геннадій;Михайлович;Чоловік;2001-01-23;Кур'єр;село Корець;провулок Соляний 7-й, буд. 15, Добропілля, 28213;673-99-00;avhustynizhak@example.org
Голик;Єлисей;Миронович;Чоловік;1980-05-12;Водій;місто Борислав;проспект Лінія 37-ма, буд. 628, Ялта, 09042;+380 09 945-50-85;leopolddavymuka@example.net
Луценко;Теодор;Юхимович;Чоловік;1974-10-17;Дизайнер;село Богодухів;шосе Совіньйонівський, буд. 551, Ізюм, 07319;078 164 21 46;danyliukserhii@example.com
Вівчаренко;Нестор;Леонтійович;Чоловік;1967-03-05;Письменник;хутір Дружба ;шосе Красних Зорь, буд. 8 кв. 454, Бібрка, 72619;+380 96 223-77-32;shynkarenkoihnat@example.com
Височан;Миколай;Макарович;Чоловік;1982-05-14;Вчитель;селище Козятин;парк Західний 2-й, буд. 11 кв. 7, Тисмениця, 69234;411-52-76;wiaremenko@example.org
Гайдай;Мирослав;Яковович;Чоловік;1979-11-17;Кушнір;місто Путивль;площа Шебелінський, буд. 1, Березань , 49117;038 406 96 69;mykhailynazabashta@example.com
Масляк;Миколай;Альбертович;Чоловік;1996-06-06;Патологоанатом;хутір Соснівка ;шосе Водопровідний 2-й, буд. 26 кв. 43, Житомир, 80271;305-16-42;roman30@example.com
Сиротенко;Юхим;Алевтинович;Чоловік;1978-05-06;Математик;хутір Рава-Руська;провулок 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 91, Миколаївка , 54559;+380 (60) 878-95-68;larysa98@example.com
Забашта;Ростислав;Арсенович;Чоловік;1984-10-11;Музикознавець;хутір Кривий Ріг;сквер Різдвяна, буд. 881, Сарни, 44830;787 35 52;iustymchuiko@example.com
Пилипенко;Адам;Соломонович;Чоловік;1967-11-01;Лікар;селище Кіцмань;набережна Шостої 2-й, буд. 300 кв. 72, Переяслав, 23542;049 130-72-53;oiatseniuk@example.net
Ґерус;Єфрем;Тимофійович;Чоловік;2002-05-09;Краєзнавець;місто Лохвиця;узвіз Аеропортівський 1-й, буд. 086 кв. 2, Чугуїв, 63061;+380 21 140 62 65;fshelest@example.net
Сагаль;Стефан;Михайлович;Чоловік;1940-11-24;Електрик;місто Скалат;провулок Олександра Невського 2-й, буд. 9, Пирятин, 35208;633 66 44;leonid73@example.org
Євтушенко;Пантелеймон;Станіславович;Чоловік;1967-01-27;Програміст;місто Миколаїв;шосе Ткачова, буд. 6 кв. 5, Кам'янець-Подільський, 88358;409 90 67;panteleimon56@example.com
Жадан;Варфоломій;Яремович;Чоловік;1972-02-18;Хімік;село Буринь;шосе Качалова, буд. 32, Дніпрорудне, 55743;452-02-64;qsirko@example.net
Яремків;Ярема;Богодарович;Чоловік;1986-06-04;Єгер;хутір Бердичів;набережна Озерна, буд. 608 кв. 82, Хмільник, 08699;+380 31 046 99 78;priskamakarenko@example.org
Килимник;Варфоломій;Богданович;Чоловік;1997-12-13;Адвокат;селище Ровеньки;провулок Офіцерський 2-й, буд. 93 кв. 996, Кальміуське, 27768;+380 (99) 541-86-25;ekozak@example.com
Савенко;Левко;Демʼянович;Чоловік;2008-08-15;Головний меркшейдер;хутір Сколе;площа Толбухіна, буд. 40 кв. 86, Генічеськ, 81915;+380 (36) 614-32-86;nkylymnyk@example.com
Сіробаба;Борислав;Олесьович;Чоловік;1974-05-08;Графік;село Армянськ;узвіз Проїзний 1-й, буд. 756, Заставна, 05446;+380 11 024-28-57;andriichukleonid@example.net
Алексійчук;Артем;Теодорович;Чоловік;1955-02-26;Астроном;хутір Долина ;сквер Пейзажна, буд. 779, Вараш, 15744;056 205 88 70;alla68@example.com
Яценюк;Пилип;Григорійович;Чоловік;2001-05-18;Адвокат;хутір Горохів;проспект Лінія 24-та, буд. 3 кв. 66, Кадіївка, 89747;+380 15 054 85 04;edytatryhub@example.net
Верменич;Леонід;Несторович;Чоловік;1995-01-05;Інженер;село Тульчин;провулок Дністровська, буд. 76, Біляївка, 17818;039 59 03;vladyslavtsymbaliuk@example.org
Іващенко;Владислав;Юстимович;Чоловік;1947-02-12;Клавішник;село Шаргород;проспект 4-та Суворовська, буд. 6 кв. 8, Моршин, 76825;+380 58 841 02 16;arkhypenkoprokhir@example.net
Гавриш;Василь;Русланович;Чоловік;1981-11-07;Каскадер;хутір Чортків;парк Привокзальна, буд. 56 кв. 5, Богуслав, 61410;+380 68 370-08-81;amvrosii99@example.com
Ящук;Орест;Бориславович;Чоловік;1952-05-10;Професор;село Красноперекопськ;провулок Аеропортівський 2-й, буд. 38, Бурштин , 82110;+380 (78) 237-26-32;aaron47@example.com
Охріменко;Остап;Захарович;Чоловік;1975-08-25;Агроном;селище Кам'янське;провулок Наклонна, буд. 7 кв. 7, Остер , 66264;062 788-54-89;izhaksymon@example.net
Баран;Франц;Миколайович;Чоловік;1999-05-02;Журналіст;село Карлівка;проспект Ламаний, буд. 212 кв. 456, Федорівка, 66428;086 823-98-51;maksym21@example.org
Радченко;Артем;Петрович;Чоловік;2003-07-02;Краєзнавець;місто Саки ;сквер Ніжинська, буд. 164 кв. 9, Березне, 22059;+380 26 487 21 63;mykhailo75@example.org
Шморгун;Георгій;Олегович;Чоловік;1996-04-19;Кушнір;місто Молодогвардійськ;сквер 2-га Суворовська, буд. 594, Іршава, 46163;+380 87 853 31 10;olha96@example.org
Козаченко;Зиновій;Євгенійович;Чоловік;1958-12-11;Хореограф;хутір Новояворівськ;проспект Аграрна, буд. 530 кв. 16, Білозерське, 27281;688-59-46;iaroslav18@example.com
Хомик;Адам;Назарович;Чоловік;1977-02-09;Мінералог;селище Путивль;проспект Різовська, буд. 3 кв. 2, Бобровиця, 60770;+380 (72) 502-68-08;arkadii80@example.com
Іщенко;Марко;Орестович;Чоловік;1995-01-12;Золотар;місто Рені;узвіз Інглезі, буд. 285, Батурин, 34369;+380 97 586-33-35;qtkachenko@example.com
Вишняк;Леонтій;Іванович;Чоловік;1967-04-22;Нотаріус;селище Ромни;шосе Вернидуба, буд. 17 кв. 38, Васильків, 21414;474-90-03;mzakharenko@example.net
Редько;Юстим;Ігнатович;Чоловік;2007-05-27;Модель;місто Гнівань;проспект Молодіжна, буд. 886 кв. 81, Алушта, 67731;+380 45 547 44 37;demianrak@example.com
Луценко;Трохим;Юстимович;Чоловік;1949-03-09;Краєзнавець;село Прилуки;шосе 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 3, Радомишль, 99981;+380 16 505-52-15;babychihor@example.com
Алексеєнко;Опанас;Климентович;Чоловік;1944-02-02;Секретар;хутір Волочиськ;сквер Косовська, буд. 60, Іловайськ, 86705;+380 47 508 00 77;vadym96@example.org
Влох;Валентин;Яковович;Чоловік;1963-05-10;Педагог;місто Калуш;проспект Чорноморський 7-й, буд. 3 кв. 69, Барвінкове, 87153;069 648 28 37;zhaivoronserhii@example.com
Влох;Яків;Устимович;Чоловік;1974-01-05;Математик;селище Новоселиця;сквер Мукачівський, буд. 934 кв. 360, Кам'янка-Дніпровська, 09449;048 166-27-05;nehodafrants@example.com
Сірко;Мартин;Адамович;Чоловік;1959-04-24;Модельєр;місто Шпола;проспект 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 480, Липовець, 13415;+380 68 619-12-31;havriushenkooksana@example.org
Бабко;Гордій;Соломонович;Чоловік;1941-08-29;Бібліограф;село Яремче;вулиця Бібліотечна, буд. 125 кв. 73, Зоринськ, 05371;+380 (09) 716-63-42;tetiana66@example.org
Швачка;Остап;Зорянович;Чоловік;1963-01-28;Випробувач;місто Київ;проспект Митракова, буд. 9 кв. 6, Федорівка, 13512;794 23 81;okseniiaazhazha@example.net
Дробʼязко;Климент;Романович;Чоловік;1941-05-06;Гірник;село Сокаль;площа Трудовий, буд. 7, Стрий, 01154;+380 (42) 798-61-74;adotsenko@example.com
Артимович;Опанас;Аркадійович;Чоловік;1975-03-26;Продюсер;хутір Кальміуське;набережна Виноградний, буд. 068, Стрий, 60728;874-35-54;saienkoiosyp@example.org
Стельмах;Гліб;Лукʼянович;Чоловік;1994-11-02;Антрополог;місто Бориспіль;узвіз Грузинська, буд. 015 кв. 43, Саки , 02753;+380 21 230-16-98;chumakvalerii@example.com
Лубенець;Демид;Омелянович;Чоловік;2006-04-18;Мінералог;селище Новоселиця;парк Байкал тупик, буд. 3, Сколе, 25077;710-24-14;stelmakhandrii@example.com
Чуйко;Феофан;Охрімович;Чоловік;1973-06-20;Клавішник;хутір Білопілля;вулиця Єліна, буд. 87 кв. 3, Моспине, 40642;066 636-51-76;vdziuba@example.com
Ященко;Едуард;Опанасович;Чоловік;1939-12-05;Редактор;хутір Немирів;узвіз Заводська 1-ша, буд. 373 кв. 564, Тлумач, 77484;584 95 55;eieremenko@example.org
Зінченко;Венедикт;Семенович;Чоловік;1979-05-07;Зоолог;місто Миронівка;провулок Лінія 23-тя, буд. 5 кв. 44, Ківерці, 12539;+380 34 540 40 95;randrusenko@example.net
Баран;Стефан;Охрімович;Чоловік;1973-09-30;Медик;селище Гірник ;проспект Пересипська 9-та, буд. 8, Білогірськ, 25241;+380 85 795-72-76;boryslaviaremko@example.net
Гуцуляк;Спас;Юстимович;Чоловік;1966-12-04;Фармацевт;село Луцьк;сквер Металістів, буд. 7, Городок, 57580;+380 81 186 48 99;iefymenkooles@example.net
Чаленко;Мартин;Валерійович;Чоловік;1960-04-20;Реабілітолог;хутір Південне ;проспект Жуковського, буд. 3, Привілля, 89189;+380 59 189 09 02;amvrosiidashenko@example.net
Аронець;Франц;Тимофійович;Чоловік;1956-06-27;Ді-джей;хутір Дубляни;узвіз Котляревського, буд. 9, Чигирин, 23638;+380 (69) 263-63-05;parmendubenko@example.net
Рубан;Олександр;Бориславович;Чоловік;1938-11-10;Ювелір;хутір Южноукраїнськ;шосе Лінія 41-ша, буд. 6 кв. 0, Мирноград, 77440;+380 (60) 838-80-26;havrylyshynvarfolomii@example.com
Медведенко;Омелян;Болеславович;Чоловік;1981-06-07;Графік;місто Почаїв;площа Середньофонтанський, буд. 4, Ірпінь, 19456;029 384-28-92;uorlyk@example.com
Дейнека;Аркадій;Зиновійович;Чоловік;1971-09-06;Хореограф;хутір Білопілля;площа Восьмого березня 7-й, буд. 821 кв. 035, Миколаїв, 13471;+380 79 669 64 64;okhrimnestaiko@example.org
Свириденко;Трохим;Аврелійович;Чоловік;1953-05-10;Астрофізик;село Харцизьк;проспект Дубовий гай, буд. 99, Гребінка, 22006;033 406 59 63;eduard00@example.net
Данчук;Соломон;Володимирович;Чоловік;1972-11-13;Різноробочий;селище Галич;провулок Дачна, буд. 4 кв. 389, Харцизьк, 43713;051 469 90 85;sofiia29@example.net
Вертипорох;Устим;Прохорович;Чоловік;1952-05-20;Журналіст;місто Попасна;сквер ім. К.Г. Паустовського, буд. 60, Іловайськ, 41963;+380 11 712 00 81;wpustovit@example.com
Сацюк;Ігор;Пантелеймонович;Чоловік;1953-02-11;Головний меркшейдер;селище Лебедин;набережна Панченка, буд. 20, Балта, 60287;+380 25 530 77 49;lreva@example.net
Гунько;Венедикт;Валентинович;Чоловік;1969-04-01;Клоун;місто Апостолове;вулиця Гагаріна, буд. 90 кв. 50, Долинська, 67999;275-28-67;ustymbazylevych@example.org
Балабан;Адам;Ааронович;Чоловік;1960-09-25;Детектив;селище Інкерман;парк 13-та Суворовська, буд. 93 кв. 0, Верхівцеве, 48175;053 276-53-72;vartiukh@example.net
Фесенко;Ілля;Устимович;Чоловік;1969-11-20;Піаніст;хутір Кам'янка (Черкаська область);провулок Миколи Плигуна, буд. 623, Городище , 17859;060 483 97 77;vitaliiiesypenko@example.net
Перебийніс;Тарас;Симонович;Чоловік;2006-05-01;Швачка;село Хрустальний;сквер Професора Каришковського, буд. 8, Кипуче, 90899;311 55 92;riabovilmyron@example.net
Гоголь;Гаврило;Олесьович;Чоловік;2002-03-12;Клавішник;селище Чернігів;шосе Єврейська, буд. 4, Галич, 98373;+380 76 075-31-97;anastasiia52@example.com
